3;8;0;5;11;2;1;0;1;3;2;3;0;3;0;1;0;4;58;12;5;0;33;29;3;10;7;1;1;1;2;1;5;3;0;1;2;5;0;2;0;3;1;4;5;2;1;1;1;2;1;0;0;1;0;0;0;4;2;1;2;0;0;0;0;11
2;1;1;2;9;0;1;0;3;1;1;7;0;5;1;4;0;1;26;5;1;0;67;50;4;23;1;7;8;12;1;0;13;5;4;3;1;12;3;3;0;4;1;2;5;1;0;0;2;1;1;0;0;0;0;0;0;7;5;2;5;0;0;0;1;13
1;3;3;4;2;0;1;0;1;0;2;1;10;1;20;0;0;0;7;5;1;0;15;4;0;2;1;2;2;0;0;0;0;0;0;1;7;12;1;5;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;6;0;1;0;0;0;0;0;1
8;29;10;5;27;5;6;0;7;5;12;13;4;20;18;7;0;6;79;16;2;0;145;94;3;56;11;11;18;10;1;0;21;2;1;10;19;66;10;29;8;14;16;13;5;1;1;3;1;0;2;2;1;2;0;0;0;18;3;6;2;0;0;0;2;29
5;5;4;1;4;1;1;0;1;0;1;0;0;4;0;5;0;1;23;2;1;0;13;9;0;3;3;1;4;3;3;0;1;0;0;2;1;3;1;10;2;3;5;6;1;2;1;1;3;0;0;0;1;1;0;1;0;3;2;4;1;0;0;0;0;4
21;29;29;5;46;6;5;3;5;6;12;13;7;4;0;2;0;7;62;31;2;0;78;17;2;12;21;2;2;1;0;3;4;0;2;1;2;11;5;331;388;458;181;71;38;48;6;7;12;8;6;11;2;13;7;4;0;48;21;22;15;16;0;0;1;49
10;20;24;3;26;2;1;0;4;2;4;4;1;2;0;0;2;4;43;13;1;1;37;9;0;3;8;1;1;0;0;0;3;0;0;0;0;9;4;463;77;310;101;46;19;15;4;12;10;2;5;1;1;8;7;4;0;25;6;8;4;5;0;0;0;16
54;47;38;10;54;1;6;1;17;8;13;11;5;8;0;4;1;9;114;35;4;1;130;25;1;11;28;6;3;1;0;4;9;0;2;2;0;12;7;498;325;217;170;109;24;46;10;13;18;11;9;6;5;20;8;3;0;33;19;26;13;11;0;0;3;41
24;20;9;6;25;2;0;0;5;2;5;7;1;6;1;4;0;6;43;16;3;1;55;10;0;9;15;0;1;0;0;0;8;0;2;0;0;10;6;235;99;151;632;96;43;36;16;13;23;14;12;11;4;7;3;2;0;41;8;18;10;66;2;1;1;40
57;61;27;16;51;8;1;0;17;9;14;3;5;6;2;3;1;2;78;22;5;0;78;13;0;13;23;1;6;3;0;6;5;1;0;1;0;6;4;116;33;104;85;848;61;66;45;41;21;17;19;23;7;26;27;9;1;31;5;29;7;5;1;1;1;12
45;17;11;7;39;2;1;0;2;3;5;1;1;3;0;2;1;6;81;18;7;0;60;23;0;9;4;5;1;2;0;0;3;2;1;1;0;1;4;68;12;35;65;86;152;92;56;89;60;31;29;19;10;25;23;14;3;69;20;48;10;20;1;1;7;24
31;11;2;9;20;0;0;0;1;1;0;2;0;0;0;1;0;8;23;13;4;1;16;12;1;3;6;2;1;0;0;1;0;1;0;0;0;1;4;47;7;23;37;77;106;141;46;27;53;16;22;24;7;26;6;4;2;36;5;36;9;17;1;0;2;14
7;16;4;0;10;0;0;0;1;0;1;0;1;0;0;0;0;0;16;10;2;0;12;2;0;3;1;0;0;0;0;0;2;0;0;0;0;2;0;14;3;7;15;41;67;56;92;19;27;20;11;8;3;10;7;2;0;18;4;18;7;7;0;0;0;11
23;4;8;2;9;0;0;0;0;0;0;0;0;0;0;1;0;1;3;2;1;0;8;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;12;2;5;24;51;68;27;15;36;12;9;10;8;1;8;3;3;2;18;10;5;3;4;0;0;2;3
1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;17;0;0;0;3;0;0;0;0;0;1;0;1;0;0;1;0;9;2;5;16;21;47;41;18;10;34;6;47;7;2;5;5;4;1;19;9;17;1;4;0;0;2;6
1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;7;10;12;29;22;20;16;11;12;10;10;1;7;9;1;2;14;5;7;2;0;0;0;1;3
1;2;3;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;3;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;6;14;7;19;15;6;5;46;5;6;3;1;2;1;1;4;14;1;6;1;3;0;0;1;4
1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4;0;0;4;3;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;8;1;3;8;16;20;15;6;1;10;5;1;4;9;2;3;2;0;6;0;6;1;2;0;0;1;4
0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;1;1;3;7;10;7;5;1;2;0;1;5;2;3;5;3;0;3;0;3;3;2;1;0;3;4
7;0;3;0;6;2;0;0;1;0;0;0;0;0;0;0;0;1;9;18;1;0;4;3;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;19;3;11;10;38;34;31;12;21;15;14;16;6;4;46;31;27;2;21;15;18;6;2;2;0;7;8
0;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;2;1;0;1;2;0;0;0;0;0;1;0;0;4;0;0;0;10;0;5;18;40;28;19;9;5;14;7;9;8;5;40;24;14;5;5;1;12;6;2;0;0;3;8
